861519030293 [-0.953284 -1.85497]'  [0.496915 0.993829]'  [0.0730853 0.0661706]'  [0.130656 0.118294]' 
861520113783 [-0.952737 -1.85387]'  [0.504698 1.0094]'  [0.0653015 0.0506031]'  [0.116741 0.090464]' 
861521034222 [-0.95229 -1.85303]'  [0.486084 0.918159]'  [0.0839156 0.141841]'  [0.150017 0.253571]' 
861522029752 [-0.951792 -1.85208]'  [0.499356 0.948775]'  [0.0706445 0.111225]'  [0.126292 0.198838]' 
861523030292 [-0.951295 -1.85109]'  [0.496855 0.99371]'  [0.0731449 0.0662898]'  [0.130762 0.118507]' 
861524029542 [-0.950848 -1.85009]'  [0.447747 0.994993]'  [0.122253 0.0650069]'  [0.218554 0.116214]' 
861525030112 [-0.950401 -1.84905]'  [0.447156 1.04336]'  [0.122844 0.0166356]'  [0.21961 0.0297397]' 
861526030292 [-0.949903 -1.84806]'  [0.497034 0.994068]'  [0.0729661 0.0659321]'  [0.130443 0.117868]' 
861527030652 [-0.949406 -1.84711]'  [0.496945 0.944195]'  [0.0730555 0.115805]'  [0.130603 0.207028]' 
861528029722 [-0.948909 -1.84627]'  [0.497586 0.845896]'  [0.0724138 0.214104]'  [0.129456 0.382757]' 
861529029752 [-0.948412 -1.84532]'  [0.497108 0.944506]'  [0.0728915 0.115494]'  [0.13031 0.206471]' 
861530116002 [-0.947865 -1.84428]'  [0.503416 0.961067]'  [0.0665839 0.0989329]'  [0.119033 0.176864]' 
861531035271 [-0.947368 -1.84328]'  [0.540781 1.08156]'  [0.0292188 -0.0215624]'  [0.052235 -0.0385475]' 
861532030381 [-0.946871 -1.84234]'  [0.499566 0.949176]'  [0.0704337 0.110824]'  [0.125916 0.198122]' 
861533030981 [-0.946374 -1.84139]'  [0.496825 0.943968]'  [0.0731747 0.116032]'  [0.130816 0.207432]' 
861534030741 [-0.945827 -1.84045]'  [0.546967 0.944761]'  [0.023033 0.115239]'  [0.0411765 0.206015]' 
861535030711 [-0.94533 -1.83956]'  [0.497138 0.894849]'  [0.0728617 0.165151]'  [0.130256 0.295244]' 
861536030291 [-0.944833 -1.83856]'  [0.497332 0.994665]'  [0.0726677 0.0653354]'  [0.129909 0.116801]' 
861537031161 [-0.944385 -1.83762]'  [0.447022 0.943713]'  [0.122978 0.116287]'  [0.21985 0.207888]' 
861538029571 [-0.943938 -1.83657]'  [0.448124 1.04562]'  [0.121876 0.0143783]'  [0.217881 0.0257044]' 
861539030711 [-0.943441 -1.83553]'  [0.496557 1.04277]'  [0.0734427 0.0172296]'  [0.131295 0.0308017]' 
861540114261 [-0.942894 -1.83448]'  [0.504671 0.963462]'  [0.0653295 0.0965381]'  [0.116791 0.172583]' 
861541034670 [-0.942447 -1.83369]'  [0.4861 0.864178]'  [0.0838997 0.195822]'  [0.149989 0.350074]' 
